song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
My Girl,21,178120,0.545,0.6,0.546,0,0,0.559,-5.714,1,0.0691,104.451,4,0.598
(Your Love Keeps Lifting Me) Higher & Higher,73,181066,0.176,0.631,0.69,0,2,0.121,-6.676,1,0.0531,94.574,4,0.938
Build Me Up Buttercup,73,177533,0.313,0.66,0.512,0,0,0.283,-7.183,1,0.0294,133.607,4,0.852
The Sound of Silence,71,185440,0.136,0.435,0.456,1.62E-06,6,0.124,-10.305,1,0.0279,107.529,4,0.529
I'm a Believer,73,167373,0.707,0.526,0.775,2.05E-05,0,0.217,-6.05,1,0.0352,80.106,4,0.962
"Sugar, Sugar",71,167186,0.466,0.736,0.871,0,2,0.108,-2.786,1,0.0278,122.395,4,0.967
Be My Baby,72,160906,0.181,0.511,0.769,0,4,0.0921,-7.032,1,0.042,129.657,4,0.818
Hit the Road Jack,19,119840,0.539,0.731,0.606,0,8,0.418,-8.092,0,0.0735,170.831,4,0.964
Come Together - Remastered,38,259946,0.0302,0.533,0.376,0.248,9,0.0926,-11.913,0,0.0393,165.007,4,0.187
Down On The Corner,32,166280,0.594,0.831,0.544,0.00389,0,0.0736,-9.288,1,0.0837,108.177,4,0.856
Will You Love Me Tomorrow,18,162960,0.351,0.539,0.406,5.10E-06,0,0.161,-6.225,1,0.0261,135.923,4,0.376
Stand By Me,80,180055,0.57,0.65,0.306,7.07E-06,9,0.0707,-9.443,1,0.0393,118.068,4,0.605
Fortunate Son,40,140773,0.208,0.643,0.669,0.00664,0,0.151,-7.485,1,0.0398,132.709,4,0.609
(What A) Wonderful World - Remastered,31,125506,0.734,0.524,0.543,0,11,0.275,-9.889,1,0.0397,128.091,4,0.877
Mrs. Robinson,59,242533,0.786,0.604,0.461,3.12E-05,6,0.0928,-13.372,0,0.0447,91.909,4,0.803
Surfin' U.S.A. - Remastered,70,149373,0.661,0.55,0.854,0,3,0.112,-5.968,1,0.036,159.231,4,0.965
Wouldn't It Be Nice - Stereo Mix,72,153240,0.718,0.392,0.629,3.76E-06,5,0.129,-7.056,1,0.0335,124.511,4,0.72
These Boots Are Made For Walkin',68,166008,0.483,0.74,0.392,1.11E-06,9,0.0965,-11.996,1,0.0824,82.742,4,0.387
Unchained Melody,67,215840,0.517,0.367,0.215,0,0,0.618,-16.652,1,0.0288,98.742,3,0.266
Sherry,63,152160,0.626,0.703,0.478,0,7,0.113,-8.062,1,0.0441,117.562,4,0.734
Son Of A Preacher Man,48,145946,0.169,0.558,0.636,0,4,0.0984,-6.992,1,0.0494,90.595,4,0.721
You Can't Hurry Love,57,161613,0.16,0.46,0.708,0,10,0.185,-9.835,1,0.0977,194.95,4,0.542
"Hold On, I'm Comin'",56,149080,0.0114,0.764,0.544,0.00952,6,0.164,-8.899,1,0.0333,106.86,4,0.866
I Heard It Through The Grapevine,69,195266,0.195,0.729,0.324,0,8,0.101,-13.017,0,0.0393,116.855,4,0.679
Time Of The Season (Mono Version),69,214026,0.142,0.537,0.7,1.58E-06,4,0.383,-6.852,0,0.0366,117.111,4,0.695
"Oh, Pretty Woman",60,176213,0.309,0.662,0.689,7.77E-06,9,0.0476,-6.227,1,0.03,126.624,4,0.947
I Say a Little Prayer,76,216773,0.48,0.59,0.355,0,9,0.0585,-14.051,1,0.0352,133.03,4,0.499
Sweet Caroline,36,203573,0.611,0.529,0.127,0.000109,11,0.237,-16.066,1,0.0274,63.05,4,0.578
Gimme Some Lovin' - Single Mix,22,173973,0.0126,0.493,0.688,0.256,7,0.38,-8.143,1,0.0321,147.403,4,0.533
What Becomes Of The Brokenhearted,25,175693,0.62,0.715,0.423,0,7,0.568,-12.663,0,0.0306,98.623,4,0.596
Rescue Me - Single Version,23,172013,0.678,0.728,0.528,9.62E-06,7,0.118,-9.711,1,0.0356,122.079,4,0.963
For What It's Worth,75,153693,0.406,0.653,0.519,0.0209,2,0.101,-10.164,1,0.0497,98.883,4,0.822
Good Vibrations - Remastered,67,217746,0.387,0.403,0.495,8.03E-06,10,0.147,-6.888,0,0.0312,132.91,4,0.38
The Lion Sleeps Tonight (Wimoweh),66,162093,0.743,0.321,0.474,0,5,0.204,-9.383,1,0.0348,121.199,4,0.804
San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,64,178506,0.538,0.525,0.52,0.00569,7,0.111,-11.725,1,0.0271,112.554,4,0.523
Can't Take My Eyes Off You,66,203240,0.566,0.575,0.764,1.07E-05,4,0.0692,-7.448,1,0.0746,123.821,4,0.536
You Never Can Tell,27,161946,0.754,0.605,0.837,4.11E-05,7,0.3,-10.059,1,0.114,157.225,4,0.93
Do You Love Me - Mono,15,172400,0.585,0.618,0.842,0,5,0.102,-4.87,1,0.042,150.741,4,0.811
What A Wonderful World,35,137466,0.848,0.273,0.373,0.000241,5,0.188,-9.989,1,0.0341,77.591,4,0.147
All I Have To Do Is Dream - 2006 Remastered Version,57,140373,0.788,0.581,0.368,0,1,0.157,-11.264,0,0.0263,103.716,4,0.568
Please Mr. Postman,18,149093,0.715,0.779,0.796,0,2,0.148,-3.526,1,0.0319,120.989,4,0.963
For Once In My Life,72,169800,0.195,0.524,0.519,0,6,0.523,-11.903,1,0.043,110.121,4,0.847
Sunny,45,161080,0.347,0.481,0.438,0,4,0.567,-7.186,0,0.0423,127.593,4,0.574
Think,69,139733,0.249,0.687,0.63,0,6,0.221,-10.817,1,0.0389,110.051,4,0.926
This Old Heart Of Mine (Is Weak For You),19,164960,0.236,0.63,0.644,0,5,0.265,-6.321,1,0.029,131.593,4,0.926
Bring It On Home to Me - Remastered,56,164252,0.631,0.487,0.532,0,0,0.184,-7.496,1,0.0322,70.838,4,0.609
A Whiter Shade Of Pale,67,248946,0.504,0.249,0.66,0.0026,0,0.0891,-6.905,1,0.0342,149.813,4,0.435
I Got You Babe - LP/Single Version,65,193840,0.246,0.621,0.708,2.00E-06,6,0.143,-9.057,1,0.0259,110.533,3,0.624
Come See About Me - Stereo Version,26,162306,0.675,0.729,0.637,0,7,0.217,-7.732,1,0.039,126.489,4,0.856
Folsom Prison Blues - Mono Version,58,155640,0.194,0.689,0.527,0.0784,5,0.278,-9.934,1,0.0314,110.519,4,0.777
Somethin' Stupid,30,162493,0.753,0.262,0.328,0,4,0.227,-12.897,1,0.0376,207.074,4,0.533
While My Guitar Gently Weeps - Remastered,32,285000,0.0205,0.453,0.654,0.00395,4,0.172,-8.855,0,0.0317,115,4,0.702
The Sun Ain't Gonna Shine Anymore - Stereo Version,14,179440,0.0033,0.436,0.496,0,2,0.106,-10.573,1,0.0282,110.677,4,0.651
Fly Me To The Moon - Remastered 2008,27,147520,0.505,0.64,0.296,4.66E-06,4,0.083,-12.266,0,0.0585,119.647,4,0.387
Chapel Of Love,59,167773,0.395,0.539,0.364,0,6,0.131,-13.56,0,0.0341,123.056,4,0.59
"Everybody's Talkin' - From ""Midnight Cowboy""",15,164813,0.235,0.402,0.493,3.05E-05,4,0.229,-9.99,1,0.0357,124.103,4,0.692
Sunny Afternoon,17,213240,0.19,0.564,0.535,0,0,0.0674,-7.13,1,0.0267,124.224,4,0.463
Everybody Needs Somebody To Love - Mono / Remastered / Version 2,19,304706,0.236,0.533,0.781,0.0225,2,0.154,-5.665,1,0.074,177.917,4,0.785
Everlasting Love,60,182666,0.266,0.497,0.569,0,9,0.336,-10.632,1,0.0386,120.531,4,0.811
A Day In The Life - Remastered,27,337413,0.29,0.364,0.457,0.000106,4,0.922,-14.162,0,0.0675,163.219,4,0.175
"Raindrops Keep Fallin' On My Head - From ""Butch Cassidy And The Sundance Kid"" Soundtrack",58,177800,0.804,0.706,0.206,0.00939,5,0.0963,-22.008,1,0.043,108.817,4,0.62
Stuck on You,61,139640,0.758,0.647,0.513,8.64E-06,7,0.108,-12.372,1,0.0421,131.641,4,0.955
Pinball Wizard,29,180943,0.0192,0.543,0.715,0,2,0.256,-8.89,1,0.0356,124.011,4,0.468
Sweets for My Sweet,13,150013,0.639,0.463,0.891,0,0,0.34,-7.894,1,0.0572,126.741,4,0.908
Don't Let Me Be Misunderstood,58,145693,0.146,0.546,0.568,0,11,0.77,-9.604,0,0.0285,112.584,4,0.488
Riders On The Storm,74,434720,0.25,0.549,0.722,0.0138,11,0.11,-11.729,0,0.0283,103.885,4,0.716
Piece of My Heart,56,157266,0.139,0.467,0.783,0.0214,8,0.08,-5.207,1,0.0528,160.841,4,0.591
Where Do You Go To (My Lovely),53,284706,0.805,0.408,0.436,1.72E-06,0,0.305,-7.712,1,0.0345,175.024,3,0.474
The Letter,65,112800,0.252,0.638,0.428,0,9,0.132,-12.156,0,0.0687,139.434,4,0.901
Like a Rolling Stone,72,369600,0.729,0.483,0.721,0,0,0.189,-6.836,1,0.032,95.261,4,0.562
Light My Fire,71,429760,0.369,0.413,0.725,2.16E-05,3,0.0905,-5.787,0,0.0324,124.618,4,0.44
To Love Somebody,66,182000,0.716,0.405,0.378,7.23E-06,9,0.289,-12.342,1,0.0304,90.851,4,0.563
He Ain't Heavy He's My Brother,49,258800,0.444,0.319,0.275,0.000365,7,0.183,-13.195,1,0.0303,75.754,4,0.253
Don't Worry Baby - Remastered 2001,61,169933,0.0666,0.487,0.464,0.00531,4,0.105,-9.821,1,0.03,121.242,4,0.851
Bad Moon Rising,71,141600,0.0543,0.641,0.774,1.05E-05,2,0.0473,-5.916,1,0.0278,89.787,4,0.942
Mr. Tambourine Man,63,330533,0.794,0.39,0.31,0,5,0.379,-14.545,1,0.0676,177.515,4,0.584
What the World Needs Now Is Love,34,190480,0.915,0.574,0.364,9.98E-06,11,0.137,-9.672,0,0.0365,112.094,3,0.398
Love Child,29,175493,0.49,0.558,0.733,1.34E-05,9,0.345,-7.237,0,0.032,104.582,4,0.625
I Want To Hold Your Hand - Remastered 2015,74,145746,0.386,0.49,0.715,0,7,0.311,-5.549,1,0.0476,130.726,4,0.866
A Hard Rain's A-Gonna Fall,58,412200,0.919,0.567,0.198,0.000871,4,0.135,-18.681,1,0.0327,92.467,4,0.321
Didn't I (Blow Your Mind This Time),61,201066,0.795,0.484,0.59,0.00306,9,0.155,-6.663,1,0.0283,140.588,4,0.324
Space Oddity - 2015 Remastered Version,72,318813,0.0748,0.299,0.443,0.000138,0,0.177,-12.621,1,0.0346,139.539,4,0.434
The Weight - Remastered,55,278626,0.225,0.63,0.519,4.30E-06,9,0.0974,-10.997,1,0.0528,143.942,4,0.502
Suite: Judy Blue Eyes - Remastered,64,444053,0.469,0.451,0.364,0,9,0.197,-13.126,1,0.0436,154.206,4,0.298
Sunshine Of Your Love,72,250000,0.475,0.684,0.481,6.57E-05,2,0.118,-12.59,1,0.0384,115.078,4,0.784
House Of The Rising Sun,70,271280,0.000385,0.295,0.584,0.218,9,0.0996,-6.696,0,0.0345,117.2,3,0.228
Respect,74,147600,0.164,0.805,0.558,2.20E-05,0,0.0546,-5.226,1,0.041,114.95,4,0.965
"Lay, Lady, Lay",60,197093,0.356,0.52,0.179,0.00344,11,0.131,-21.976,0,0.0454,155.746,4,0.407
Sealed with a Kiss,60,168866,0.708,0.431,0.379,1.74E-05,5,0.181,-9.59,0,0.0262,86.172,4,0.665
Bohemian Rhapsody - Remastered 2011,44,354320,0.271,0.414,0.404,0,0,0.3,-9.928,0,0.0499,71.105,4,0.224
Have You Ever Seen The Rain?,67,160000,0.0876,0.776,0.516,1.82E-05,0,0.182,-9.981,1,0.0295,115.989,4,0.806
Is This Love,26,230527,0.108,0.775,0.559,0,6,0.0945,-8.377,0,0.088,122.229,4,0.804
Don't Go Breaking My Heart,39,275440,0.149,0.729,0.844,2.87E-06,5,0.0604,-8.824,1,0.0344,131.459,4,0.777
Hold the Line,77,235800,0.0397,0.494,0.698,0.00634,6,0.152,-12.049,0,0.0553,95.842,4,0.778
September,82,214826,0.114,0.697,0.809,0.000521,9,0.183,-8.197,1,0.0302,125.941,4,0.98
Hotel California - Remastered,83,391376,0.00574,0.579,0.508,0.000494,2,0.0575,-9.484,1,0.027,147.125,4,0.609
The Chain - 2004 Remastered Edition,79,270213,0.009,0.545,0.67,0.000822,9,0.0451,-8.81,1,0.0496,151.553,4,0.481
Superstition - Single Version,42,244826,0.0172,0.642,0.735,0.000733,8,0.0391,-8.866,1,0.0806,99.682,4,0.864
Sultans Of Swing,42,348624,0.0771,0.731,0.797,0.0248,5,0.334,-9.992,1,0.0309,148.192,4,0.933
Rocket Man (I Think It's Going To Be A Long Long Time),17,282013,0.431,0.6,0.507,4.98E-06,10,0.0924,-9.98,1,0.0289,136.611,4,0.333
Don't Stop Me Now - Remastered,81,209413,0.0475,0.559,0.868,0.000176,5,0.776,-5.276,1,0.17,156.295,4,0.609
Daddy Cool,56,207893,0.27,0.764,0.775,0.767,5,0.156,-6.907,0,0.0368,124.424,4,0.936
It's a Heartache,12,210573,0.033,0.539,0.648,1.16E-06,0,0.29,-7.336,1,0.0299,118.89,4,0.493
Ain't No Sunshine,77,125093,0.457,0.479,0.416,1.72E-05,4,0.118,-11.451,0,0.124,79.593,4,0.514
Rich Girl - Remastered,72,144333,0.5,0.597,0.643,0,5,0.0435,-6.303,1,0.134,167.963,4,0.823
Sweet Home Alabama,62,284413,0.0915,0.609,0.661,0.000482,7,0.254,-9.549,1,0.0252,97.93,4,0.892
Go Your Own Way,30,218400,0.0219,0.597,0.812,0.00106,5,0.102,-12.062,1,0.0315,135.68,4,0.823
Roxanne - Remastered 2003,73,191500,0.0384,0.618,0.748,4.10E-06,0,0.0477,-8.905,1,0.361,134.001,4,0.662
The Logical Song - Remastered 2010,33,251253,0.512,0.625,0.758,0.00022,5,0.153,-6.213,0,0.0463,119.719,4,0.695
Spirit In The Sky,73,239600,0.112,0.601,0.643,0.00209,2,0.088,-5.828,1,0.0314,128.262,4,0.552
We Are The Champions - Remastered 2011,74,179200,0.378,0.268,0.459,0,10,0.118,-6.94,1,0.0346,64.177,4,0.175
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",17,238746,0.0781,0.694,0.394,0.000677,0,0.247,-15.881,1,0.0428,104.126,4,0.719
Dreams,27,254453,0.139,0.823,0.338,0.00129,0,0.5,-15.899,1,0.0413,120.473,4,0.785
Mrs. Robinson,75,244026,0.713,0.606,0.457,2.53E-05,6,0.0747,-14.035,0,0.0497,92.033,4,0.813
Lady Marmalade,60,235266,0.551,0.571,0.652,0,2,0.0598,-11.034,0,0.0499,117.956,4,0.947
Video Killed The Radio Star - Single Version,25,197906,0.0862,0.742,0.788,0.00768,1,0.292,-10.803,1,0.0669,130.849,4,0.514
Listen To The Music,74,227266,0.221,0.645,0.598,3.53E-06,1,0.0721,-13.18,0,0.0335,105.929,4,0.913
Mr. Blue Sky,81,303373,0.652,0.388,0.338,3.72E-06,10,0.248,-10.054,1,0.0328,177.784,4,0.477
Dancing Queen,30,231093,0.177,0.512,0.933,0.00129,9,0.573,-4.343,1,0.0504,100.543,4,0.71
Kung Fu Fighting,25,196349,0.0424,0.612,0.685,3.74E-05,2,0.151,-9.838,1,0.0656,102.253,4,0.579
I Was Made For Lovin' You,17,270013,0.0961,0.775,0.825,4.86E-05,4,0.0776,-6.337,1,0.0396,128.362,4,0.881
More Than a Feeling,78,285133,0.000894,0.377,0.682,0.00217,7,0.0504,-8.039,1,0.0299,108.736,4,0.288
Piano Man,74,336093,0.6,0.334,0.472,3.77E-06,0,0.317,-8.792,1,0.0277,179.167,3,0.431
Bennie And The Jets - Remastered 2014,23,322548,0.251,0.666,0.668,5.77E-06,0,0.499,-7.961,1,0.0523,132.666,4,0.765
Boogie Wonderland,73,288293,0.0843,0.802,0.756,0.00765,2,0.0521,-10.791,0,0.0349,131.715,4,0.963
Le Freak,69,327573,0.0453,0.867,0.746,0,7,0.123,-7.445,1,0.0475,118.616,4,0.933
Carry On Wayward Son,54,205026,0.000553,0.403,0.648,6.88E-05,9,0.421,-8.1,0,0.0325,126.682,4,0.904
A Horse with No Name,77,252239,0.686,0.654,0.506,0.0155,11,0.155,-17.18,0,0.0535,123.179,4,0.831
If You Leave Me Now - Remastered,72,235373,0.0193,0.429,0.564,0.000828,11,0.128,-6.784,1,0.0268,104.212,4,0.276
I'm Every Woman,64,213266,0.0145,0.537,0.929,0.000618,5,0.188,-4.957,0,0.0446,114.785,4,0.717
Easy,58,260893,0.233,0.575,0.432,0.00135,10,0.0743,-13.642,0,0.0314,132.145,4,0.348
Grease - From “Grease” Original Motion Picture Soundtrack,57,204346,0.249,0.805,0.437,0,9,0.0903,-8.979,1,0.0458,109.68,4,0.845
My Sweet Lord,38,281226,0.0705,0.537,0.685,0,1,0.0839,-8.935,0,0.0333,120.965,4,0.542
Beast Of Burden - Remastered,32,265173,0.413,0.786,0.87,0.000494,1,0.0389,-3.875,0,0.0316,100.66,4,0.864
Stuck In The Middle With You - Remastered,63,201334,0.119,0.837,0.496,0.357,7,0.115,-11.821,1,0.0402,125.017,4,0.964
Take It Easy - Remastered,76,211577,0.343,0.575,0.67,4.95E-06,7,0.129,-10.39,1,0.0318,139.191,4,0.74
Blinded By The Light (Single edit),16,229000,0.524,0.594,0.561,0.00222,5,0.0724,-11.666,1,0.0603,140.286,4,0.617
Stairway To Heaven,64,478173,0.575,0.346,0.335,0.00674,7,0.185,-12.453,1,0.0339,84.204,4,0.213
You're So Vain,74,258411,0.157,0.659,0.678,6.69E-06,0,0.0784,-8.18,1,0.0313,106.186,4,0.647
Here Comes The Sun - Live In Japan/1991/Remastered 2004,63,211320,0.425,0.611,0.566,0.000954,9,0.878,-11.715,1,0.0295,125.24,4,0.639
Let Your Love Flow,65,198760,0.0611,0.679,0.553,7.16E-06,3,0.139,-14.687,1,0.0316,109.071,4,0.946
Don't Stop 'Til You Get Enough - Single Version,77,365466,0.126,0.878,0.821,0.0461,11,0.183,-9.875,1,0.089,118.881,4,0.947
Imagine - Remastered 2010,77,187866,0.907,0.547,0.257,0.183,0,0.0935,-12.358,1,0.0252,75.752,4,0.169
T.N.T.,78,214666,0.153,0.754,0.759,0.000114,9,0.101,-5.218,1,0.302,126.367,4,0.435
Starman - 2012 Remastered Version,73,254293,0.166,0.486,0.45,2.06E-06,5,0.54,-10.298,1,0.0267,100.456,4,0.55
Message In A Bottle - Remastered 2003,71,290280,0.0338,0.577,0.808,1.33E-05,1,0.221,-7.04,0,0.039,151.008,4,0.869
Give A Little Bit,33,248173,0.0637,0.533,0.822,0.00795,2,0.259,-5.419,1,0.0474,91.353,4,0.463
Miss You - Remastered,59,288666,0.426,0.796,0.711,0.00381,9,0.364,-4.755,0,0.0427,109.673,4,0.828
Hot Stuff,25,314760,0.00559,0.823,0.743,0.0306,0,0.0707,-13.98,1,0.0316,120.471,4,0.966
The Boys Are Back In Town,27,263826,0.252,0.36,0.851,3.77E-06,8,0.0802,-5.542,1,0.0838,79.39,4,0.683
Black Magic Woman,66,195866,0.679,0.497,0.552,0.0314,9,0.089,-7.102,0,0.0307,124.359,4,0.633
American Pie,74,515866,0.6,0.527,0.509,0,7,0.144,-10.893,1,0.0628,138.317,4,0.497
Cocaine,70,221640,0.0607,0.699,0.502,0.0337,9,0.317,-12.526,1,0.0278,105.266,4,0.676
"""Heroes"" - Single Version; 2014 Remastered Version",58,213813,0.016,0.502,0.681,0.107,7,0.102,-8.263,1,0.0276,112.16,4,0.584
It Never Rains in Southern California,47,230453,0.0388,0.621,0.572,0,9,0.0873,-9.979,1,0.0267,116.391,4,0.915
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,24,285373,0.0291,0.704,0.834,0.00492,10,0.147,-7.131,0,0.0358,103.555,4,0.923
Come and Get Your Love,58,300666,0.118,0.648,0.741,0.000802,2,0.0645,-8.568,1,0.0658,105.794,4,0.829
Ziggy Stardust - 2012 Remastered Version,65,194440,0.048,0.44,0.565,0,7,0.213,-11.657,1,0.121,161.124,4,0.495
YMCA - Original Version 1978,71,286800,0.0643,0.723,0.969,0,6,0.115,-4.516,1,0.142,126.653,4,0.728
Lean on Me,69,258834,0.782,0.619,0.22,1.19E-05,0,0.124,-13.843,1,0.0667,75.16,4,0.423
Life On Mars? - 2015 Remastered Version,71,235986,0.639,0.442,0.384,7.70E-05,10,0.0539,-14.635,1,0.0414,123.281,4,0.216
Layla,22,426173,0.481,0.404,0.754,0.489,1,0.318,-10.31,1,0.0556,115.536,4,0.446
Maybe I’m Amazed - Remastered 2011,22,229826,0.387,0.471,0.494,0.0944,7,0.617,-10.407,1,0.0312,79.255,4,0.373
Saturday Night’s Alright (For Fighting) - Remastered 2014,20,295466,0.0195,0.513,0.979,0.0951,0,0.0906,-6.362,1,0.0425,152.875,4,0.94
"If I Can't Have You - From ""Saturday Night Fever""",50,177213,0.108,0.599,0.807,0,8,0.348,-6.971,0,0.0412,109.497,4,0.846
Sunny,65,242240,0.0876,0.647,0.868,0.124,0,0.129,-6.427,0,0.105,121.822,4,0.803
The Passenger,26,284066,0.0797,0.5,0.846,0,0,0.241,-8.098,1,0.0457,134.937,4,0.738
"Rocket Man (I Think It's Going To Be A Long, Long Time)",80,281613,0.386,0.602,0.522,1.44E-05,10,0.0941,-9.031,1,0.0285,136.637,4,0.36
Band On The Run - Remastered 2010,30,313026,0.0832,0.479,0.601,0.00142,7,0.11,-8.806,1,0.0318,124.966,4,0.669
Young Americans - 2016 Remastered Version,61,313706,0.171,0.614,0.763,0,4,0.119,-8.949,0,0.133,84.236,4,0.885
You Make Me Feel Like Dancing - Remastered,48,219466,0.0848,0.728,0.718,0,8,0.0579,-5.281,0,0.0501,95.922,4,0.733
Don't Go Breaking My Heart,75,275440,0.177,0.728,0.824,1.48E-06,5,0.06,-8.632,1,0.0353,131.468,4,0.787
Maggie May,34,350266,0.559,0.605,0.574,0.113,2,0.0684,-10.536,1,0.0377,129.449,4,0.543
"Can't Get Enough Of Your Love, Babe",55,270333,0.202,0.74,0.605,0.000107,5,0.0515,-10.924,1,0.0539,111.78,4,0.779
Dreadlock Holiday,24,267746,0.435,0.837,0.407,0.000487,7,0.174,-12.416,0,0.0563,105.013,4,0.922
Long Train Runnin',72,207266,0.0916,0.575,0.912,0.00211,7,0.0562,-7.275,0,0.0393,117.399,4,0.843
Take The Long Way Home - 2010 Remastered,23,308853,0.22,0.414,0.7,0.000721,5,0.114,-8.838,1,0.0301,76.79,4,0.37
What's Going On,30,232600,0.105,0.245,0.833,0,1,0.359,-5.555,0,0.116,205.375,4,0.805
Strawberry Letter 23,17,298794,0.297,0.722,0.787,0.00706,7,0.146,-7.333,0,0.0508,90.839,4,0.708
Bat Out of Hell,52,293426,0.412,0.225,0.687,0.00142,5,0.147,-10.236,1,0.0462,173.494,4,0.611
"You're The First, The Last, My Everything",15,206936,0.000679,0.633,0.542,0.00434,5,0.0754,-12.318,1,0.0316,130.314,4,0.879
Don't Stop,23,192133,0.0398,0.686,0.632,2.20E-06,9,0.0686,-11.433,1,0.0353,118.965,4,0.88
Jolene,22,161533,0.566,0.674,0.537,0,1,0.131,-10.971,0,0.0363,110.578,4,0.809
My Sharona,16,293840,0.0393,0.58,0.732,0.00116,0,0.0821,-8.585,1,0.0358,147.194,4,0.883
(Don't Fear) The Reaper,19,308440,0.00125,0.368,0.928,0.00111,9,0.301,-8.369,0,0.0593,141.175,4,0.532
Africa,70,296000,0.256,0.678,0.499,9.85E-05,9,0.051,-12.816,1,0.0308,92.627,4,0.718
Maneater - Radio Edit,58,270946,0.0153,0.728,0.518,4.19E-05,11,0.103,-11.114,0,0.038,88.708,4,0.833
Maniac,72,244706,0.0891,0.617,0.533,4.04E-06,3,0.0415,-11.516,0,0.0651,158.86,4,0.835
Take On Me,85,225280,0.018,0.573,0.902,0.00125,6,0.0928,-7.638,0,0.054,84.412,4,0.876
Every Breath You Take,45,253733,0.413,0.828,0.447,0.00335,1,0.074,-10.563,1,0.0349,117.391,4,0.676
Heaven,75,243360,0.0465,0.382,0.589,0,9,0.122,-7.315,0,0.0267,140.059,4,0.335
I Wanna Dance with Somebody (Who Loves Me),82,291293,0.207,0.709,0.824,0.000307,1,0.0888,-8.824,1,0.0453,118.814,4,0.867
I Want To Break Free,22,201000,0.0512,0.862,0.401,0.00607,4,0.18,-12.088,1,0.0374,109.142,4,0.8
Uptown Girl,78,197706,0.0747,0.701,0.943,0,4,0.601,-2.986,1,0.0456,128.992,4,0.791
Sweet Dreams (Are Made of This) - Remastered,83,216933,0.227,0.692,0.711,0,0,0.12,-7.498,0,0.0317,125.135,4,0.875
Everybody Wants To Rule The World,40,251480,0.363,0.637,0.811,0.00451,7,0.107,-11.345,1,0.0583,112.053,4,0.552
Wake Me Up Before You Go-Go,27,230693,0.186,0.618,0.764,0,0,0.12,-6.027,1,0.0562,81.366,4,0.876
Karma Chameleon,66,252760,0.214,0.661,0.552,0,10,0.206,-12.385,1,0.0337,92.056,4,0.928
Footloose,73,226293,0.159,0.564,0.911,4.36E-05,2,0.118,-5.39,1,0.0536,173.938,4,0.582
You Can't Hurry Love,34,175346,0.0674,0.639,0.923,0,7,0.0879,-5.708,1,0.032,97.874,4,0.761
We Are The World,68,427333,0.189,0.528,0.447,0,4,0.0745,-15.255,1,0.0435,72.58,4,0.292
Walking On Sunshine,79,238733,0.0116,0.596,0.869,0.173,10,0.0678,-11.97,1,0.037,109.902,4,0.944
Don't Stop Believin',79,250986,0.127,0.5,0.748,0,4,0.447,-9.072,1,0.0363,118.852,4,0.514
Don't Dream It's Over,75,236933,0.0148,0.439,0.422,4.84E-05,8,0.0697,-17.227,1,0.0409,81.833,4,0.551
Billie Jean,84,293826,0.0236,0.92,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4,0.847
Born In The U.S.A.,54,278826,0.00201,0.397,0.861,2.49E-05,4,0.35,-12.156,1,0.0569,121.856,4,0.512
The Power Of Love,71,234333,0.0964,0.768,0.829,2.92E-05,5,0.097,-5.109,1,0.0313,118.773,4,0.962
Bette Davis Eyes - Radio Edit; 1997 Remastered Version,26,221773,0.125,0.655,0.533,0,5,0.245,-12.173,1,0.03,116.055,4,0.515
Another One Bites The Dust - Remastered 2011,80,214653,0.112,0.933,0.528,0.312,5,0.163,-6.472,0,0.161,109.967,4,0.754
Down Under,76,220866,0.0485,0.746,0.79,0.0261,11,0.0534,-4.7,0,0.0257,107.231,4,0.891
Up Where We Belong,52,233240,0.597,0.573,0.429,8.18E-05,2,0.0839,-8.68,1,0.0294,139.097,4,0.361
Hungry Heart,68,199453,0.0857,0.641,0.894,0.009,8,0.157,-7.41,1,0.0273,109.823,4,0.972
I Knew You Were Waiting (For Me),52,241920,0.274,0.727,0.68,0,4,0.31,-11.297,1,0.0445,107.775,4,0.683
Summer Of '69,80,216053,0.0183,0.508,0.834,0,2,0.0732,-6.205,1,0.0386,139.131,4,0.774
Heaven Is a Place on Earth,73,246520,0.0243,0.64,0.852,1.82E-06,1,0.0497,-8.119,0,0.0345,122.902,4,0.793
You Give Love A Bad Name,25,222706,0.0678,0.54,0.96,2.34E-06,0,0.342,-2.971,0,0.0521,122.761,4,0.802
Never Gonna Give You Up,75,213573,0.115,0.721,0.939,3.79E-05,8,0.108,-11.823,1,0.0376,113.309,4,0.914
A Little Respect - 2009 Remastered Version,70,213986,0.0299,0.607,0.784,3.85E-06,0,0.288,-7.963,1,0.0258,113.804,4,0.622
Livin' On A Prayer,78,249293,0.0778,0.532,0.887,0.000214,0,0.294,-3.757,1,0.0335,122.511,4,0.795
Everywhere,31,222733,0.218,0.69,0.54,0.00657,4,0.115,-10.516,1,0.0317,114.846,4,0.764
Come On Eileen,40,273720,0.413,0.466,0.615,0,0,0.343,-9.102,1,0.0492,108.016,4,0.812
